910,15
563,10
756,10
533,7
1030,20
983,10
760,13
1043,16
880,16
520,8
746,12
866,16
893,13
743,17
1033,19
693,12
886,15
786,10
540,7
703,15
623,12
443,11
956,19
1023,16
613,10
700,9
1076,20
316,5
596,8
700,10
1150,16
1043,16
876,15
463,5
680,9
1200,17
410,5
813,14
316,4
906,11
600,11
776,14
570,8
1113,19
760,12
716,14
836,14
1013,20
666,12
636,12
963,16
643,9
650,10
586,12
656,11
723,12
546,5
533,8
840,13
756,14
496,10
913,14
930,14
886,15
520,11
990,14
643,10
796,20
1113,14
1010,13
493,8
793,11
1026,21
1110,23
690,11
710,13
860,11
786,11
460,8
500,7
886,13
1183,14
1063,20
716,13
1366,25
1150,20
890,15
830,14
820,15
503,8
436,9
1090,14
603,14
633,9
463,7
996,19
540,7
843,15
806,12
550,10
896,13
713,11
736,13
860,16
600,10
1003,20
926,20
1003,10
920,16
813,12
970,15
650,13
1253,25
836,17
596,13
506,7
746,13
653,11
766,11
